slice,dice_Background,dice_IRF,dice_SRF,dice_PED,voxels_Background,voxels_IRF,voxels_SRF,voxels_PED,union_Background,union_IRF,union_SRF,union_PED,intersection_Background,intersection_IRF,intersection_SRF,intersection_PED
Cirrus_TRAIN003_000.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_001.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_002.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_003.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_004.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_005.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_006.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_007.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_008.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_009.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_010.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_011.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_012.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_013.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_014.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_015.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_016.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_017.tiff,0.9999704360961914,3.2258061111178904e-08,1.0,1.0,524288,0,0,0,1048545,31,0,0,524257,0,0,0
Cirrus_TRAIN003_018.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_019.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_020.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_021.tiff,0.9999704360961914,3.2258061111178904e-08,1.0,1.0,524288,0,0,0,1048545,31,0,0,524257,0,0,0
Cirrus_TRAIN003_022.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_023.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_024.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_025.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_026.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_027.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_028.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_029.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_030.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_031.tiff,0.9999961853027344,2.499999425253918e-07,1.0,1.0,524288,0,0,0,1048572,4,0,0,524284,0,0,0
Cirrus_TRAIN003_032.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_033.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_034.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_035.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_036.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_037.tiff,1.0,1.0,1.0,1.0,524288,0,0,0,1048576,0,0,0,524288,0,0,0
Cirrus_TRAIN003_038.tiff,0.9998321533203125,5.6818181271012236e-09,1.0,1.0,524288,0,0,0,1048400,176,0,0,524112,0,0,0
